crop,maturity_days,mean_temp_gs_C,temp_flowering_C,seasonal_rain_mm,rain_flowering_mm,humidity_mean_pct,soil_pH,clay_pct,soil_N_status_kg_ha,soil_P_status_kg_ha,soil_K_status_kg_ha,fert_N_kg_ha,fert_P_kg_ha,fert_K_kg_ha,irrigation_events,ndvi_flowering,ndvi_peak,ndvi_veg_slope,yield_t_ha,soil_moisture_pct
mustard,135,28.69,33.86,797.3,125.8,58.7,7.93,16.9,112.8,10.6,101.0,5.0,15.808550260225296,5.0,0,0.701,0.701,0.006,0.430022364,19.42
soybean,96,15.58,32.79,637.2,140.5,86.4,5.44,42.2,151.5,33.5,356.3,5.0,22.26527757064368,5.0,0,0.415,0.736,0.0121,0.624027881,21.53
soybean,113,18.14,34.46,745.4,175.4,47.4,6.58,21.9,107.1,23.8,235.1,38.97496614122731,32.93512660227151,5.0,3,0.798,0.798,0.0071,1.305642228,28.97
mustard,138,30.29,14.16,458.9,246.6,85.7,7.0,19.7,213.4,36.4,206.9,5.0,13.558585369926742,5.0,0,0.8,0.8,0.0033,0.430022364,19.42
groundnut,125,29.99,29.44,812.5,144.9,55.6,4.9,55.0,88.9,33.3,235.5,16.083891015221727,19.85857036700713,5.0,5,0.387,0.813,0.0169,0.701528438,22.38
safflower,115,31.39,28.87,885.7,208.1,69.3,7.74,32.5,176.4,27.7,196.7,5.0,12.967687301780034,5.0,3,0.511,0.647,0.0067,0.3,18.0
mustard,120,16.07,26.83,836.6,168.7,82.5,5.39,19.9,188.8,25.1,152.3,5.0,10.150823415414756,5.0,0,0.586,0.586,0.0026,0.430022364,19.42
soybean,119,28.66,13.69,848.6,160.7,35.4,4.73,44.3,101.2,22.8,185.8,5.0,16.36889648741084,5.0,0,0.857,0.857,0.0014,0.418810658,19.3
mustard,108,26.79,27.64,678.6,34.1,70.8,5.51,36.4,158.9,6.8,321.5,5.0,14.660168314854303,5.0,3,0.647,0.687,0.0095,0.430022364,19.42
groundnut,134,24.69,10.34,406.7,34.9,81.3,6.44,34.6,202.7,22.3,363.0,5.0,18.234095444580394,5.0,1,0.507,0.762,0.0099,0.683173195,22.18
soybean,120,25.16,17.6,517.8,35.0,55.2,6.2,5.9,121.0,27.4,160.5,70.81014300709035,53.726703362824644,42.51764970023625,3,0.607,0.792,0.0169,2.072065733,37.33
sunflower,103,15.58,27.04,406.2,245.5,49.4,4.79,16.0,114.2,7.2,268.6,5.0,13.921743675193694,5.0,4,0.701,0.822,0.0034,0.332950619,18.36
soybean,104,30.75,20.89,401.2,70.2,59.3,8.19,17.8,163.3,13.3,356.8,5.0,14.065860499349547,5.0,3,0.375,0.421,0.0042,0.418810658,19.3
sesame,133,19.22,15.5,585.8,105.7,79.1,6.79,15.3,136.7,26.0,124.0,15.447193344714371,31.26799353020439,19.797340187380527,1,0.9,0.9,0.0044,1.166962794,27.46
sunflower,109,28.68,30.83,317.0,199.3,87.8,7.59,15.7,113.5,38.5,296.9,5.0,22.421138145522775,5.0,3,0.45,0.707,0.0123,0.675889756,22.1
groundnut,112,28.73,25.18,750.8,204.4,76.8,6.1,32.4,140.7,37.7,191.2,25.220617523928816,40.096389861335474,5.994168659968644,0,0.755,0.755,0.0054,1.28441933,28.74
mustard,105,31.87,32.11,406.2,182.1,47.0,4.84,22.2,111.9,36.8,89.6,5.0,16.555809988888825,10.563642967466224,5,0.472,0.695,0.01,0.430022364,19.42
niger seed,142,23.62,19.67,564.4,41.2,58.5,5.38,25.5,123.9,8.6,363.0,12.847169901032927,32.12562287141128,5.0,5,0.818,0.818,0.0051,0.88372229,24.37
groundnut,139,19.14,11.82,371.7,52.8,58.2,6.24,16.0,181.8,5.3,152.4,5.0,26.250262496730752,5.0,2,0.51,0.51,0.0024,0.79106621,23.36
sunflower,129,29.94,28.0,612.1,143.6,39.1,5.72,51.0,161.7,33.0,177.3,7.525513402383706,37.33459651677941,5.0,5,0.633,0.633,0.0041,1.088748523,26.6
mustard,111,22.06,14.23,747.2,249.4,38.3,5.8,10.6,134.9,26.8,289.4,5.0,14.875124651224846,5.0,0,0.572,0.572,0.0046,0.430022364,19.42
sunflower,100,17.95,29.72,703.1,21.9,49.2,6.56,14.7,210.7,30.2,171.8,5.0,18.10460283527299,5.0,2,0.764,0.788,0.0056,0.649253707,21.81
soybean,98,25.94,13.93,748.3,49.6,79.6,7.91,22.2,87.8,16.6,225.6,19.48604028545295,22.914576016478648,5.0,1,0.849,0.849,0.0089,0.670097054,22.04
soybean,120,22.06,25.98,509.4,30.0,35.7,5.1,7.6,140.9,24.0,374.2,5.0,22.539798126688197,5.0,5,0.513,0.604,0.0052,0.741294865,22.81
mustard,111,31.4,21.27,319.3,150.6,47.9,6.49,37.5,122.1,18.3,376.4,5.0,10.676686700251757,5.0,0,0.414,0.835,0.02,0.430022364,19.42
sunflower,107,29.03,23.58,443.6,243.7,55.2,7.58,28.0,160.8,29.4,388.3,5.0,13.633717876399562,5.0,4,0.499,0.615,0.0044,0.556027533,20.79
sunflower,127,23.79,14.53,570.7,234.2,85.6,5.31,41.0,124.3,33.6,272.3,5.0,22.124287561804305,5.0,5,0.53,0.761,0.0071,0.789092967,23.34
soybean,96,12.46,18.27,636.2,209.0,56.9,8.13,50.4,165.8,14.1,273.3,5.0,20.663321275598477,5.0,1,0.705,0.842,0.009,0.752812159,22.94
sunflower,97,15.12,32.15,392.4,26.7,49.0,7.09,13.7,107.7,16.9,262.1,5.099544235667835,26.901405836676346,5.0,2,0.851,0.851,0.0086,0.8070723,23.53
sunflower,103,29.89,22.85,743.5,120.8,71.4,5.61,14.9,155.5,17.7,157.2,5.0,30.08431638492129,5.0,4,0.439,0.639,0.0142,1.067439684,26.37
mustard,112,25.18,11.24,763.3,17.8,83.1,6.74,40.4,81.4,25.4,110.7,68.59561886504812,48.11814584521227,45.27618209242497,1,0.868,0.868,0.0014,1.79749348,34.34
groundnut,123,31.01,27.86,871.3,121.8,37.0,5.22,8.6,170.5,37.8,281.0,5.0,11.964152837785994,5.0,5,0.483,0.7,0.0114,0.454851878,19.69
soybean,95,24.85,28.51,400.6,137.2,61.0,6.08,17.0,166.6,20.6,336.7,5.0,30.01005241748395,5.0,5,0.781,0.781,0.0037,1.01142774,25.76
niger seed,130,24.7,13.08,647.7,119.0,74.6,7.18,19.9,151.8,23.9,382.4,5.0,13.711505403673096,5.0,3,0.473,0.857,0.0149,0.707151508,22.44
mustard,128,26.9,17.32,272.3,214.5,74.4,5.66,53.9,102.0,32.6,217.6,57.095258148543536,35.86523228386562,13.91313855835916,5,0.836,0.836,0.0063,1.757358059,33.9
sunflower,119,23.39,25.12,622.8,216.1,52.7,5.62,28.0,115.2,23.0,327.0,6.911915613390918,20.535423185760454,5.0,4,0.541,0.841,0.0132,0.830378843,23.79
sesame,140,17.68,13.99,735.7,235.8,77.0,4.89,43.4,174.5,9.0,184.4,5.0,17.745871903803508,5.0,5,0.423,0.44,0.0042,0.378786692,18.86
soybean,95,13.65,23.73,654.5,27.7,43.1,8.04,12.8,83.0,6.2,358.7,5.0,14.927125665741833,5.0,2,0.348,0.439,0.0053,0.418810658,19.3
soybean,102,20.0,27.26,939.3,44.4,42.3,6.36,18.1,176.3,13.9,165.4,5.0,19.2730291659213,5.0,5,0.474,0.647,0.0064,0.418810658,19.3
sunflower,106,26.7,30.82,628.3,156.2,65.2,7.33,42.4,115.6,28.2,135.1,35.00245374624971,33.24879645368137,20.196697813865917,0,0.622,0.827,0.0072,1.244569413,28.3
mustard,126,20.92,33.48,418.1,170.0,83.6,7.39,19.4,98.1,31.3,216.2,27.889035139024916,25.507426933951084,5.0,2,0.63,0.63,0.0079,1.070755685,26.41
mustard,113,18.1,15.51,921.1,241.7,67.6,7.07,5.8,122.4,20.0,124.0,5.0,17.05884453174172,5.0,5,0.556,0.556,0.0057,0.462990745,19.78
mustard,107,25.1,33.24,749.8,245.3,73.8,6.08,18.3,124.3,11.0,288.7,5.0,15.528769023019994,5.0,1,0.504,0.817,0.0104,0.430022364,19.42
mustard,123,25.4,19.03,441.3,31.9,49.8,7.89,7.4,169.1,39.2,135.5,15.507110801541723,35.365372574431206,20.359096977390674,3,0.738,0.738,0.001,1.453475589,30.58
soybean,106,13.4,34.08,639.8,48.6,45.7,6.59,25.5,138.6,14.9,344.8,5.0,14.243215599759063,5.0,2,0.563,0.858,0.0068,0.418810658,19.3
sunflower,120,31.68,14.81,756.6,2.8,88.9,4.71,38.7,127.9,9.9,202.3,21.58417568351124,35.45255652754683,5.0,2,0.635,0.77,0.0067,1.176647487,27.56
sunflower,111,19.55,20.04,694.0,189.2,51.4,8.16,24.1,168.8,6.4,137.1,42.79932975724785,55.983515755214285,43.037551668596095,2,0.9,0.9,0.0072,1.907141144,35.53
soybean,102,18.97,13.9,886.8,169.2,40.3,7.29,11.9,102.7,32.7,128.0,14.889679545708113,17.159978084577933,5.0,5,0.435,0.611,0.0068,0.841809424,23.91
soybean,117,15.23,10.21,494.6,68.6,58.2,7.24,33.4,138.4,35.4,354.6,5.0,10.877162150353826,5.0,1,0.456,0.462,0.0032,0.484773337,20.02
soybean,96,31.46,33.0,947.9,225.3,76.0,7.99,5.9,82.2,16.5,148.9,10.679395567630745,13.367476196054326,5.0,4,0.633,0.675,0.0037,0.418810658,19.3
sunflower,99,26.54,25.5,590.9,120.3,56.9,8.27,14.5,196.6,25.2,358.1,5.0,16.384376177545665,5.0,4,0.681,0.681,0.008,0.464133163,19.79
soybean,99,26.64,25.65,646.0,231.8,46.3,7.99,12.8,174.8,5.8,385.0,5.0,21.320699826852547,5.0,0,0.795,0.795,0.0049,0.418810658,19.3
groundnut,144,20.43,21.88,811.0,23.3,75.0,8.1,5.8,117.3,19.4,184.6,17.319846940295328,19.60531996334446,5.0,5,0.694,0.694,0.0039,0.921343667,24.78
groundnut,130,29.0,21.16,761.1,190.8,45.0,6.43,51.5,139.4,25.3,250.8,12.517784023602118,27.537432676059378,5.0,2,0.837,0.837,0.0025,1.059679524,26.29
sunflower,104,15.6,18.84,771.4,91.6,41.0,7.52,15.3,160.0,9.8,132.9,18.31965032647966,39.92560806959123,30.03280071019524,2,0.827,0.838,0.0016,1.444339784,30.48
sunflower,101,17.78,22.41,320.6,116.6,37.0,4.86,24.4,198.0,18.8,368.5,5.0,26.878367693641025,5.0,0,0.852,0.852,0.0047,0.781768053,23.26
mustard,131,23.2,20.4,779.9,130.2,86.3,8.35,28.0,193.5,11.4,323.0,5.0,13.686757103975623,5.0,4,0.884,0.884,0.0058,0.430022364,19.42
sunflower,95,19.69,27.47,891.0,18.1,63.7,5.51,18.5,101.2,12.7,342.0,5.0,22.758577284282747,5.0,0,0.829,0.829,0.0043,0.566016052,20.9
mustard,106,20.05,14.57,704.6,32.3,57.7,5.22,16.1,164.2,8.8,200.4,27.87267797028252,43.881965229741404,18.054807324672026,3,0.9,0.9,0.0038,1.568148219,31.83
castor,117,22.89,24.24,383.7,76.3,36.9,7.58,44.3,176.5,7.8,99.6,5.0,38.26756522109237,22.236641201936184,1,0.332,0.624,0.0069,1.041302105,26.09
sunflower,102,17.67,34.22,462.6,35.9,75.7,7.9,19.7,212.7,14.8,393.3,5.0,32.88311153752777,5.0,1,0.682,0.876,0.0081,0.78576346,23.3
safflower,148,22.85,20.67,557.8,240.1,61.2,8.36,25.1,180.2,22.3,374.0,5.0,25.725499695503235,5.0,2,0.865,0.865,0.004,0.776443507,23.2
soybean,95,26.91,31.15,430.4,78.9,42.1,4.75,52.9,120.2,34.4,116.1,41.86951586531531,37.71577593991368,40.88395176264211,0,0.831,0.831,0.0028,1.618703195,32.39
sunflower,126,29.44,16.0,714.4,140.1,62.2,4.73,44.5,160.4,36.1,213.9,13.577610134980418,29.700883477377356,5.0,2,0.418,0.821,0.0124,1.136693413,27.13
mustard,100,25.09,19.25,826.7,64.6,54.3,7.8,55.4,97.3,18.0,104.5,5.0,18.128313248191372,5.0,5,0.671,0.671,0.0033,0.430022364,19.42
sunflower,97,14.1,17.6,721.0,117.8,55.1,8.3,41.0,163.9,39.4,124.3,5.0,30.353440408130968,10.324100658223363,1,0.615,0.681,0.0076,1.189965512,27.71
groundnut,116,18.32,29.51,313.7,66.7,77.0,7.54,58.7,121.5,12.0,306.9,9.56315082785186,26.92852342580303,5.0,3,0.801,0.801,0.0029,0.804049187,23.5
soybean,116,12.56,21.82,409.8,138.7,89.5,5.55,7.5,154.9,20.9,285.7,8.187282029770419,33.678829214351644,5.0,4,0.9,0.9,0.0027,1.171622817,27.51
soybean,109,24.58,29.54,534.2,71.4,76.5,5.93,52.6,99.7,9.1,249.5,69.4278710301163,57.42141880066257,8.774279331987778,2,0.476,0.662,0.0094,2.052172227,37.11
mustard,123,16.24,23.58,949.6,226.4,72.5,4.5,26.9,147.8,32.5,222.7,5.0,21.532705065955557,5.0,1,0.409,0.704,0.0094,0.430022364,19.42
soybean,101,19.65,26.74,349.9,170.9,62.4,4.71,38.4,97.0,37.7,332.2,5.0,5.400556680773143,5.0,0,0.535,0.85,0.0268,0.454409564,19.68
mustard,121,23.37,14.28,447.1,151.0,52.4,8.3,7.8,215.5,14.7,283.7,5.0,22.15709532713411,5.0,3,0.572,0.572,0.002,0.455823705,19.7
sunflower,117,22.34,28.02,762.1,199.4,79.6,7.84,32.8,80.2,34.5,336.0,19.582734558167903,15.840824666582602,5.0,2,0.505,0.63,0.0089,0.55402983,20.77
groundnut,145,24.03,23.82,866.3,168.6,75.7,4.91,30.3,110.5,30.4,129.8,11.139774711642511,17.011900996829525,5.0,0,0.478,0.765,0.0086,0.735105103,22.75
groundnut,116,25.14,13.84,255.6,156.4,44.4,6.73,6.2,145.8,35.1,144.4,21.228601428521973,27.328301932260587,21.458110975740126,2,0.589,0.591,0.0047,1.346200392,29.41
sunflower,128,20.29,28.53,825.0,38.2,71.7,5.59,16.9,134.4,27.7,211.9,5.0,18.294295463224845,5.0,2,0.588,0.81,0.0086,0.574672768,21.0
sunflower,98,31.6,13.61,499.7,167.7,40.1,7.23,16.2,114.3,32.8,84.4,44.664234621653016,37.02603291459796,40.95603031520735,0,0.641,0.771,0.0089,1.520252525,31.31
mustard,130,18.33,11.18,579.0,119.4,69.7,6.07,11.1,97.7,9.9,202.4,88.56641687849233,54.584321461610216,38.15265069093765,4,0.782,0.782,0.0025,2.307786685,39.9
mustard,135,23.27,16.6,509.0,118.2,40.6,8.07,54.6,161.7,5.7,245.9,6.877030928871459,35.38738192934077,5.0,1,0.808,0.808,0.0029,1.211229657,27.94
sunflower,127,30.09,16.47,677.3,8.5,76.0,6.84,8.5,81.6,23.0,99.9,15.187626001266162,22.350085210683456,5.0,1,0.843,0.843,0.0024,0.58665899,21.13
sunflower,119,16.31,13.32,816.2,161.8,45.0,5.54,5.0,99.2,28.1,270.1,46.665320702780065,43.832468192444246,5.0,1,0.857,0.857,0.0029,1.518254822,31.29
sunflower,109,17.62,10.45,539.5,180.5,36.1,7.28,7.1,166.4,9.8,106.8,5.0,16.35991333357008,5.0,4,0.813,0.813,0.0009,0.355591261,18.61
groundnut,110,24.39,26.21,600.5,243.9,39.7,5.49,31.3,117.4,31.1,196.3,5.0,16.822973258424128,5.0,1,0.516,0.516,0.0026,0.570803292,20.95
soybean,122,14.84,29.81,357.3,149.7,46.7,5.38,18.2,208.6,7.3,188.0,5.0,20.183121283570006,5.0,1,0.547,0.64,0.0029,0.418810658,19.3
soybean,120,29.62,21.88,628.1,224.4,74.5,6.63,44.6,137.1,8.6,214.0,14.10835360338002,35.35163120543098,5.0,3,0.811,0.811,0.0037,1.02399206,25.9
sunflower,95,30.44,26.15,882.0,18.4,59.4,4.95,16.0,188.5,35.9,399.9,5.0,10.860528348644928,5.0,0,0.449,0.57,0.0072,0.332950619,18.36
niger seed,112,14.06,27.98,507.5,135.1,76.9,6.24,11.5,145.4,27.0,245.3,5.0,20.351637020585226,5.0,5,0.579,0.579,0.003,0.653890813,21.86
mustard,122,27.77,12.29,919.9,11.8,55.8,6.26,9.8,219.1,23.5,86.4,5.0,13.203451911814815,5.658271182926775,3,0.9,0.9,0.0062,0.430022364,19.42
sunflower,99,23.83,28.92,679.3,14.1,43.3,6.27,32.2,178.5,20.7,295.5,5.0,26.36998397870154,5.0,0,0.883,0.883,0.0043,0.960229585,25.2
sunflower,106,19.46,31.06,631.0,91.9,74.9,6.12,24.9,214.9,14.1,109.7,5.0,12.024740114551483,5.0,0,0.344,0.532,0.0061,0.332950619,18.36
groundnut,133,14.04,20.6,763.5,19.6,42.3,6.46,50.3,171.7,16.4,207.2,5.0,23.092336229877976,5.0,4,0.696,0.696,0.006,0.927611311,24.85
safflower,134,22.86,13.56,294.0,45.8,73.2,7.47,6.3,84.8,19.0,336.5,5.0,9.25146642893867,5.0,2,0.489,0.775,0.0081,0.352305376,18.57
mustard,135,31.34,12.4,909.1,14.3,69.1,5.96,26.7,120.9,30.1,222.8,5.0,10.078235612482665,5.0,5,0.607,0.865,0.0121,0.430022364,19.42
sunflower,118,24.37,32.67,487.4,124.1,54.3,5.9,17.3,144.9,7.4,136.0,5.0,14.80721375233415,5.0,4,0.573,0.678,0.0059,0.450815138,19.65
mustard,138,30.94,29.02,869.3,117.8,55.7,7.69,34.7,183.0,11.6,256.3,5.0,30.76188460936173,5.0,4,0.836,0.836,0.0024,0.996218476,25.6
mustard,101,25.15,14.63,896.9,134.7,89.6,4.69,55.9,181.9,18.4,315.4,5.0,17.527555645177703,5.0,1,0.819,0.854,0.0054,0.430022364,19.42
mustard,104,14.33,28.15,323.1,190.6,68.1,6.47,11.3,98.1,35.6,339.1,5.0,10.700182655496466,5.0,1,0.524,0.606,0.0068,0.430022364,19.42
castor,134,22.75,24.54,308.0,122.6,62.9,5.88,32.7,111.8,5.1,261.5,15.08243038543434,26.69856644595184,5.0,3,0.9,0.9,0.0041,0.954137803,25.14
soybean,103,30.6,23.06,749.9,214.3,46.9,7.3,31.2,204.5,9.1,163.4,5.0,25.78585549684146,5.0,3,0.397,0.412,0.0015,0.418810658,19.3
groundnut,140,27.91,13.05,833.3,96.9,40.3,5.05,8.0,144.8,16.8,241.4,5.0,24.844813254267006,5.0,5,0.689,0.689,0.0019,0.905674557,24.61
sunflower,103,21.76,31.07,940.8,173.8,70.8,6.46,19.8,90.5,30.7,153.5,51.428514140109755,35.70967430046097,31.0448791637413,3,0.825,0.825,0.0016,1.552881686,31.67
mustard,123,27.12,15.39,272.1,94.0,71.6,7.61,24.2,81.5,8.8,94.4,46.8319802312426,28.468520437081274,33.896074454519336,0,0.708,0.708,0.0038,1.198328986,27.8
mustard,113,28.68,26.27,796.5,9.2,68.3,8.23,10.8,200.8,22.0,233.9,5.0,17.076842016939096,5.0,0,0.703,0.703,0.0019,0.430022364,19.42
soybean,100,31.96,27.07,329.9,129.4,35.7,5.49,53.6,183.2,19.9,293.8,5.0,22.328488529477596,5.0,5,0.405,0.694,0.0141,0.418810658,19.3
soybean,98,29.24,25.15,572.3,129.4,50.5,7.8,16.0,157.6,5.9,322.7,5.0,17.305828634518754,5.0,1,0.407,0.742,0.0211,0.418810658,19.3
sunflower,109,30.22,10.92,752.0,86.6,71.1,7.54,29.7,98.5,30.1,188.3,73.73647223679332,45.433681336853304,21.80103927318964,4,0.9,0.9,0.0042,1.945763416,35.95
sunflower,102,25.17,27.17,795.0,219.5,82.5,5.31,41.1,202.6,32.4,306.1,5.0,11.923997582822123,5.0,1,0.623,0.623,0.0086,0.332950619,18.36
mustard,133,17.38,20.41,685.8,107.6,85.8,7.7,23.6,198.6,22.5,240.8,22.612109022539485,44.352088584873,5.0,5,0.441,0.808,0.0138,1.711489007,33.4
soybean,111,16.55,27.52,695.4,132.9,44.2,7.8,18.1,150.6,14.1,397.0,5.0,11.429106737625327,5.0,4,0.681,0.681,0.0055,0.635545174,21.66
sunflower,99,31.56,12.55,644.1,5.4,88.7,7.49,18.6,161.5,18.9,165.4,5.0,30.22203839612987,5.0,1,0.675,0.797,0.0041,0.976211214,25.38
soybean,111,27.29,33.19,810.3,44.3,78.1,7.12,39.8,120.8,15.7,225.9,5.0,23.38664020389026,5.0,1,0.428,0.428,0.0044,0.418810658,19.3
niger seed,141,14.14,10.92,809.8,239.3,82.3,7.38,52.3,171.0,36.3,238.4,5.0,9.55803339412333,5.0,2,0.436,0.659,0.0112,0.3,18.0
sunflower,100,31.42,26.52,463.6,50.4,73.4,4.65,37.6,167.9,6.3,226.4,5.0,32.34191597790097,5.0,0,0.768,0.889,0.01,1.09207803,26.64
sunflower,123,21.99,28.03,408.4,37.5,37.5,5.9,51.7,159.9,25.6,344.7,5.0,29.177493470399302,5.0,0,0.732,0.732,0.004,0.963559091,25.24
sunflower,98,20.34,20.19,940.4,148.7,59.8,5.16,9.3,169.3,26.5,98.2,5.0,19.510128891867538,5.0,2,0.523,0.704,0.009,0.553363928,20.76
soybean,111,16.43,34.42,284.7,72.4,56.6,6.88,22.6,207.9,14.6,128.6,5.0,24.84656310240213,5.144202381879383,0,0.9,0.9,0.0028,0.776893771,23.2
safflower,119,25.68,32.89,797.7,131.2,41.8,6.74,33.5,80.0,8.3,117.0,5.0,17.954826212380222,5.0,4,0.551,0.598,0.0061,0.3,18.0
sunflower,95,14.46,31.52,313.7,200.5,45.3,8.17,57.4,218.9,23.7,316.2,5.0,26.77222987904359,5.0,2,0.465,0.654,0.0088,0.832376547,23.81
mustard,100,18.06,29.32,274.5,106.3,87.9,7.8,6.0,215.1,36.1,396.2,10.831907258244538,34.65905439807476,5.0,3,0.883,0.883,0.005,1.657019508,32.8
sunflower,114,29.08,21.62,744.3,40.3,76.7,5.21,49.6,82.3,15.4,231.6,5.0,9.765219470715914,5.0,4,0.574,0.574,0.0045,0.332950619,18.36
sunflower,100,22.17,11.39,378.6,243.5,41.8,7.73,48.1,196.5,13.0,140.3,5.0,9.688395183799653,5.0,5,0.865,0.865,0.0026,0.332950619,18.36
mustard,123,16.47,23.94,327.8,173.7,50.2,4.8,48.4,169.9,11.6,196.9,21.319369544793016,32.17677694129516,5.0,5,0.751,0.751,0.0059,1.381805195,29.8
castor,124,24.64,20.71,881.1,125.8,73.1,5.78,27.5,151.9,37.9,209.3,5.0,25.01393272234285,5.0,2,0.664,0.889,0.0059,0.883316808,24.36
soybean,110,24.71,29.02,438.0,80.2,79.9,5.55,40.9,131.8,37.9,193.6,18.724638982689434,31.734509932855907,5.0,3,0.804,0.804,0.0046,1.188375243,27.69
sunflower,120,18.11,26.78,784.3,195.1,61.5,6.39,27.0,199.2,19.6,325.7,5.0,21.567803360306367,5.0,2,0.9,0.9,0.0035,0.624615361,21.54
sunflower,106,20.93,35.0,917.1,86.8,84.2,6.31,41.2,107.4,25.0,323.7,5.0,18.806434551478382,5.0,2,0.452,0.452,0.0023,0.332950619,18.36
niger seed,144,30.05,20.13,397.6,81.7,71.2,7.61,8.5,183.5,17.2,108.0,5.0,17.883574606919318,5.0,1,0.328,0.432,0.0037,0.569368406,20.94
mustard,113,15.97,23.83,730.1,72.2,46.6,5.19,8.8,173.1,5.8,387.8,5.0,15.609544575701609,5.0,3,0.626,0.718,0.0147,0.430022364,19.42
sunflower,99,25.1,26.62,296.5,232.3,56.5,5.11,6.2,207.1,14.2,210.4,5.0,22.317416749613383,5.0,1,0.808,0.876,0.0054,0.66723304,22.01
sunflower,115,22.0,25.55,446.7,216.8,73.4,5.52,20.6,215.5,7.3,331.8,5.0,44.30088361868408,5.0,5,0.9,0.9,0.0082,1.423030945,30.25
soybean,97,19.98,22.94,631.6,182.3,69.0,8.09,14.0,211.3,15.5,90.9,5.0,14.408488588964993,5.0,4,0.9,0.9,0.0025,0.446033351,19.59
groundnut,136,15.61,25.36,421.2,13.4,47.0,7.22,30.3,94.0,32.8,85.2,29.73163167463585,34.06093904363545,32.09303536509515,5,0.73,0.73,0.0023,1.047591925,26.16
soybean,97,25.11,23.07,900.2,214.4,35.7,4.96,31.9,199.1,32.1,88.8,5.0,18.986884542851577,7.891178829419053,5,0.633,0.842,0.0059,0.713025146,22.51
groundnut,134,28.74,31.69,906.8,136.2,62.8,8.08,36.6,96.8,39.6,223.9,5.0,10.975019402272984,5.0,0,0.383,0.846,0.0153,0.3133822,18.15
mustard,138,18.11,18.34,772.6,240.0,56.1,8.45,48.2,116.2,18.5,148.7,5.0,16.394588453264,5.0,4,0.558,0.558,0.0034,0.430022364,19.42
mustard,123,14.17,13.85,365.8,175.3,36.3,7.28,57.0,171.1,25.0,182.7,5.0,12.912240422028752,5.0,2,0.471,0.621,0.0081,0.430022364,19.42
mustard,133,24.82,15.12,574.0,188.6,35.9,4.79,16.1,197.9,10.9,340.8,5.192568522832192,43.03124380350073,5.0,4,0.454,0.838,0.0128,1.43914151,30.43
niger seed,145,23.99,12.53,302.9,57.2,75.8,5.08,39.9,112.1,14.6,383.4,9.815063893750096,10.734032153793391,5.0,3,0.867,0.867,0.0067,0.782121725,23.26
mustard,121,12.48,23.5,332.8,187.5,55.0,7.58,19.8,111.1,24.6,270.1,11.344381682017902,26.14924466869492,5.0,3,0.624,0.895,0.0096,1.017719594,25.83
soybean,104,22.82,24.96,557.6,154.5,70.0,6.16,20.0,190.2,10.7,89.0,5.0,26.164194307535304,14.592720555206993,3,0.391,0.717,0.0079,0.691037586,22.27
soybean,102,28.64,15.27,618.2,107.8,58.9,8.3,23.3,100.3,9.9,201.5,5.0,11.571857986990585,5.0,2,0.542,0.55,0.0062,0.418810658,19.3
mustard,101,25.53,33.35,565.9,227.9,65.1,5.84,41.6,179.0,33.3,137.0,5.0,10.06710491777163,5.0,3,0.703,0.804,0.004,0.430022364,19.42
castor,129,27.59,18.0,308.9,67.8,66.8,5.1,34.0,182.4,31.5,123.7,5.0,29.41950516324524,20.823474214530496,5,0.9,0.9,0.0035,1.256488975,28.43
sunflower,103,16.24,28.25,770.9,58.7,42.1,8.39,44.5,157.7,17.1,224.7,5.0,17.01263077656727,5.0,3,0.9,0.9,0.0069,0.53272099,20.54
mustard,128,25.7,33.62,548.8,122.0,88.2,7.59,24.4,174.4,30.0,399.9,20.11624984606082,33.816491116511564,5.0,2,0.84,0.84,0.0018,1.462076036,30.68
sesame,119,29.68,22.76,546.1,68.9,40.6,5.99,12.0,91.2,21.2,84.0,20.001242882464,19.601289657523225,15.203706100094674,2,0.9,0.9,0.005,0.809722913,23.56
sesame,113,18.15,34.69,718.2,229.0,49.6,5.18,33.1,214.0,7.4,85.4,5.0,21.646550949088937,14.196336332786109,5,0.681,0.802,0.0139,0.609243889,21.37
mustard,125,23.07,19.39,917.5,103.9,78.6,8.01,13.3,154.0,10.1,286.5,66.5045028683396,63.50131524020146,13.964040534962352,4,0.745,0.745,0.0048,2.380890486,40.7
sunflower,95,31.1,34.31,552.5,172.0,75.4,7.06,31.0,133.5,31.5,300.8,5.0,12.7363709760374,5.0,0,0.378,0.585,0.0065,0.342939137,18.47
soybean,120,12.15,33.36,541.2,235.0,88.0,4.98,8.6,116.3,22.9,224.7,5.0,18.638352498545093,5.0,0,0.313,0.502,0.0043,0.418810658,19.3
mustard,136,28.01,33.9,880.0,125.6,84.4,4.66,9.7,101.3,23.3,237.5,36.735326459589885,33.033820277994366,5.0,5,0.79,0.85,0.0095,1.294367314,28.85
sunflower,111,18.05,21.97,429.3,74.5,88.9,5.54,22.5,123.4,10.5,335.1,5.0,23.256140787735404,5.0,1,0.507,0.507,0.0054,0.474787582,19.91
mustard,133,19.72,12.66,373.1,62.1,65.1,6.85,24.8,85.4,20.6,111.6,5.0,10.365219703884314,5.0,3,0.514,0.621,0.0087,0.430022364,19.42
soybean,107,26.54,13.57,652.3,39.4,53.7,5.0,10.8,133.6,7.9,242.8,19.895977660971862,37.651033097945266,5.0,0,0.74,0.74,0.007,1.096236899,26.69
